,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
0,8825ee70-60bf-4a53-8628-565af244d3f8,cassava,-50,-50,-50,50,1199480,119.56,143408217.17,3424215.49
1,8825ee70-60bf-4a53-8628-565af244d3f8,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
2,8825ee70-60bf-4a53-8628-565af244d3f8,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
3,8825ee70-60bf-4a53-8628-565af244d3f8,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
4,8825ee70-60bf-4a53-8628-565af244d3f8,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
5,9cf136d9-570b-49a1-88af-ba29cdda1fef,cassava,-40,-50,-50,50,1199478,119.56,143408217.17,3424215.49
6,9cf136d9-570b-49a1-88af-ba29cdda1fef,groundnuts,0,0,0,0,57110,2381.5,136034537.49,6321505.6
7,9cf136d9-570b-49a1-88af-ba29cdda1fef,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
8,9cf136d9-570b-49a1-88af-ba29cdda1fef,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
9,9cf136d9-570b-49a1-88af-ba29cdda1fef,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
10,291216d7-0657-4930-86fc-6bfab3dffd48,cassava,-30,-50,-50,50,1199478,119.56,143408217.17,3424215.49
11,291216d7-0657-4930-86fc-6bfab3dffd48,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
12,291216d7-0657-4930-86fc-6bfab3dffd48,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
13,291216d7-0657-4930-86fc-6bfab3dffd48,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
14,291216d7-0657-4930-86fc-6bfab3dffd48,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
15,c7e1410d-5168-4dec-a299-fc95097352df,cassava,-20,-50,-50,50,1199478,119.56,143408217.17,3424215.49
16,c7e1410d-5168-4dec-a299-fc95097352df,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
17,c7e1410d-5168-4dec-a299-fc95097352df,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
18,c7e1410d-5168-4dec-a299-fc95097352df,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
19,c7e1410d-5168-4dec-a299-fc95097352df,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
20,f4a6dd82-909c-4fb9-9eab-9843fa7c7391,cassava,-10,-50,-50,50,1199478,119.56,143408217.17,3424215.49
21,f4a6dd82-909c-4fb9-9eab-9843fa7c7391,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
22,f4a6dd82-909c-4fb9-9eab-9843fa7c7391,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
23,f4a6dd82-909c-4fb9-9eab-9843fa7c7391,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
24,f4a6dd82-909c-4fb9-9eab-9843fa7c7391,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
25,c29da64a-619d-429a-a0b1-5bd1c0ef92d8,cassava,0,-50,-50,50,1199478,119.56,143408217.17,3424215.49
26,c29da64a-619d-429a-a0b1-5bd1c0ef92d8,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
27,c29da64a-619d-429a-a0b1-5bd1c0ef92d8,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
28,c29da64a-619d-429a-a0b1-5bd1c0ef92d8,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
29,c29da64a-619d-429a-a0b1-5bd1c0ef92d8,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
30,6939bcb6-6d1b-4bc8-a6be-c40a89e6e6aa,cassava,10,-50,-50,50,1199478,119.56,143408217.17,3424215.49
31,6939bcb6-6d1b-4bc8-a6be-c40a89e6e6aa,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
32,6939bcb6-6d1b-4bc8-a6be-c40a89e6e6aa,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
33,6939bcb6-6d1b-4bc8-a6be-c40a89e6e6aa,sesame,0,0,0,0,94210.1,1462.38,137770900.12,10238826.15
34,6939bcb6-6d1b-4bc8-a6be-c40a89e6e6aa,sorghum,0,0,0,0,142237.99,4271.98,607638448.69,28790116.81
35,a083368b-aa36-4c51-8a2f-bbc024d0d81f,cassava,20,-50,-50,50,1199478,119.56,143408217.17,3424215.49
36,a083368b-aa36-4c51-8a2f-bbc024d0d81f,groundnuts,0,0,0,0,57121.31,2381.5,136034537.49,6321505.6
37,a083368b-aa36-4c51-8a2f-bbc024d0d81f,maize,0,0,0,0,30906.61,2672.2,82588561.6,25579883.95
